name,salary_from,salary_to,salary_currency,area_name,published_at
Инженер-электроник/администратор сетей,900,1300,BYR,Минск,2022-12-19T08:29:45+0300
Специалист технической поддержки,35000,,RUR,Краснодар,2022-12-19T08:31:06+0300
Бизнес-аналитик системы «Свод-СМАРТ» (аккредитованная IT-компания),50000,70000,RUR,Чебоксары,2022-12-19T08:11:04+0300
Менеджер по продукту (страхование),,80000,RUR,Москва,2022-12-19T08:38:36+0300
Программист 1С,80000,130000,RUR,Екатеринбург,2022-12-19T08:19:01+0300
Программист 1С,100000,100000,RUR,Набережные Челны,2022-12-19T08:27:08+0300
Эксперт в отдел исследования мошенничества,50000,,RUR,Казань,2022-12-19T08:49:01+0300
Инженер технической поддержки,,40000,RUR,Новосибирск,2022-12-19T08:54:59+0300
Специалист 1С,100000,,RUR,Барнаул,2022-12-19T08:01:41+0300
Руководитель проекта (Норильск),200000,,RUR,Екатеринбург,2022-12-19T08:22:42+0300
Монтажник-слаботочник,100000,,RUR,Сургут,2022-12-19T08:32:01+0300
Токарь-расточник,134000,,RUR,Уфа,2022-12-19T08:37:17+0300
IT-специалист,40000,50000,RUR,Красноярск,2022-12-19T08:05:32+0300
Специалист технической поддержки,35000,,RUR,Ставрополь,2022-12-19T08:31:40+0300
Токарь-расточник,134000,,RUR,Пермь,2022-12-19T08:37:04+0300
Системный администратор,64000,,RUR,Екатеринбург,2022-12-19T08:21:54+0300
Монтажник слаботочных систем,70000,100000,RUR,Москва,2022-12-19T08:20:29+0300
Оператор станков с ПУ (токарная и фрезерная группа),50000,,RUR,Краснодар,2022-12-19T08:47:13+0300
Инженер-программист,40000,100000,RUR,Брянск,2022-12-19T08:30:06+0300
Эксперт по информационной безопасности,150000,,RUR,Москва,2022-12-19T08:29:48+0300
Инженер-электронщик (производство медицинских изделий),130000,,RUR,Москва,2022-12-19T08:37:49+0300
Сетевой инженер,60000,,RUR,Москва,2022-12-19T08:29:18+0300
Инженер отдела техобеспечения,26000,,RUR,Киров (Кировская область),2022-12-19T08:45:45+0300
Инженер,62000,62000,RUR,Балашиха,2022-12-19T08:56:22+0300
Токарь-расточник,134000,,RUR,Нижний Тагил,2022-12-19T08:43:08+0300
Токарь,120000,,RUR,Саратов,2022-12-19T08:53:39+0300
Аналитик 1С,150000,250000,RUR,Санкт-Петербург,2022-12-19T08:52:05+0300
Дизайнер / Художник на анимационный YouTube проект,50000,100000,RUR,Новосибирск,2022-12-19T08:50:10+0300
Токарь,50000,60000,RUR,Рыбинск,2022-12-19T08:17:55+0300
Токарь-универсал 6 разряда,60000,,RUR,Краснодар,2022-12-19T08:47:13+0300
Фрезеровщик,60000,,RUR,Краснодар,2022-12-19T08:47:13+0300
Токарь-расточник,134000,,RUR,Курган,2022-12-19T08:43:47+0300
Инженер-программист оборудования,51000,,RUR,Красноярск,2022-12-19T08:46:16+0300
Специалист технической поддержки,,45000,RUR,Санкт-Петербург,2022-12-19T08:41:23+0300
Оператор станков с ЧПУ,115000,125000,RUR,Альметьевск,2022-12-19T08:07:24+0300
Наладчик оборудования в производстве пищевой продукции,62000,,RUR,Москва,2022-12-19T08:29:31+0300
Оператор пульта управления,43000,120000,RUR,Владивосток,2022-12-19T08:26:41+0300
Токарь,110000,,RUR,Нижний Тагил,2022-12-19T08:05:20+0300
Копирайтер-автор шуток (развлекательный контент YouTube),50000,65000,RUR,Новосибирск,2022-12-19T08:50:10+0300
Выездной инженер-механик по обслуживанию и ремонту спецтехники,100000,,RUR,Екатеринбург,2022-12-19T08:30:37+0300
Монтажник-слаботочник,100000,,RUR,Ноябрьск,2022-12-19T08:31:57+0300
Инженер,62000,62000,RUR,Реутов,2022-12-19T08:56:22+0300
Инженер-программист,80000,80000,RUR,Екатеринбург,2022-12-19T08:20:15+0300
Токарь,30000,,RUR,Ижевск,2022-12-19T08:51:56+0300
Инженер-программист,47741,,RUR,Йошкар-Ола,2022-12-19T08:44:38+0300
Оператор линии розлива,67000,,RUR,Москва,2022-12-19T08:29:53+0300
Методолог 1С,60000,,RUR,Екатеринбург,2022-12-19T08:45:46+0300
Инженер-механик,80000,,RUR,Нижний Новгород,2022-12-19T08:28:46+0300
Бизнес-аналитик системы «Проект-СМАРТ Про» (аккредитованная IT-компания),65000,,RUR,Чебоксары,2022-12-19T08:11:00+0300
